SiPM 7001  (-365.37,-287.62,-22.8)
SiPM 7002  (-365.37,-272.07,-22.8)
SiPM 7003  (-365.37,-256.52,-22.8)
SiPM 7004  (-365.37,-240.97,-22.8)
SiPM 7005  (-365.37,-225.42,-22.8)
SiPM 7006  (-365.37,-209.87,-22.8)
SiPM 7007  (-365.37,-194.32,-22.8)
SiPM 7008  (-349.82,-303.17,-22.8)
SiPM 7009  (-349.82,-287.62,-22.8)
SiPM 7010  (-349.82,-272.07,-22.8)
SiPM 7011  (-349.82,-256.52,-22.8)
SiPM 7012  (-349.82,-240.97,-22.8)
SiPM 7013  (-349.82,-225.42,-22.8)
SiPM 7014  (-349.82,-209.87,-22.8)
SiPM 7015  (-349.82,-194.32,-22.8)
SiPM 7016  (-334.27,-303.17,-22.8)
SiPM 7017  (-334.27,-287.62,-22.8)
SiPM 7018  (-334.27,-272.07,-22.8)
SiPM 7019  (-334.27,-256.52,-22.8)
SiPM 7020  (-334.27,-240.97,-22.8)
SiPM 7021  (-334.27,-225.42,-22.8)
SiPM 7022  (-334.27,-209.87,-22.8)
SiPM 7023  (-334.27,-194.32,-22.8)
SiPM 7024  (-318.72,-303.17,-22.8)
SiPM 7025  (-318.72,-287.62,-22.8)
SiPM 7026  (-318.72,-272.07,-22.8)
SiPM 7027  (-318.72,-256.52,-22.8)
SiPM 7028  (-318.72,-240.97,-22.8)
SiPM 7029  (-318.72,-225.42,-22.8)
SiPM 7030  (-318.72,-209.87,-22.8)
SiPM 7031  (-318.72,-194.32,-22.8)
SiPM 7032  (-303.17,-303.17,-22.8)
SiPM 7033  (-303.17,-287.62,-22.8)
SiPM 7034  (-303.17,-272.07,-22.8)
SiPM 7035  (-303.17,-256.52,-22.8)
SiPM 7036  (-303.17,-240.97,-22.8)
SiPM 7037  (-303.17,-225.42,-22.8)
SiPM 7038  (-303.17,-209.87,-22.8)
SiPM 7039  (-303.17,-194.32,-22.8)
SiPM 7040  (-287.62,-303.17,-22.8)
SiPM 7041  (-287.62,-287.62,-22.8)
SiPM 7042  (-287.62,-272.07,-22.8)
SiPM 7043  (-287.62,-256.52,-22.8)
SiPM 7044  (-287.62,-240.97,-22.8)
SiPM 7045  (-287.62,-225.42,-22.8)
SiPM 7046  (-287.62,-209.87,-22.8)
SiPM 7047  (-287.62,-194.32,-22.8)
SiPM 7048  (-272.07,-303.17,-22.8)
SiPM 7049  (-272.07,-287.62,-22.8)
SiPM 7050  (-272.07,-272.07,-22.8)
SiPM 7051  (-272.07,-256.52,-22.8)
SiPM 7052  (-272.07,-240.97,-22.8)
SiPM 7053  (-272.07,-225.42,-22.8)
SiPM 7054  (-272.07,-209.87,-22.8)
SiPM 7055  (-272.07,-194.32,-22.8)
SiPM 7056  (-256.52,-303.17,-22.8)
